"TreeID","Year","first_stage2_date","Julian_Day"
131,2011,2011-04-10,100
131,2013,2013-05-03,123
131,2016,2016-04-24,115
131,2017,2017-04-13,103
131,2018,2018-04-17,107
131,2021,2021-04-30,120
131,2022,2022-04-11,101
131,2023,2023-04-26,116
131,2024,2024-04-10,101
132,2007,2007-04-08,98
132,2011,2011-04-08,98
132,2013,2013-04-25,115
133,2007,2007-04-08,98
133,2011,2011-04-06,96
133,2013,2013-04-27,117
133,2018,2018-04-21,111
133,2021,2021-04-26,116
133,2022,2022-04-11,101
133,2023,2023-04-17,107
133,2024,2024-04-10,101
134,2007,2007-04-08,98
134,2011,2011-04-04,94
134,2013,2013-04-25,115
134,2022,2022-04-20,110
135,2007,2007-04-06,96
135,2011,2011-04-08,98
135,2013,2013-04-27,117
135,2023,2023-04-17,107
135,2024,2024-04-25,116
136,2007,2007-04-12,102
136,2011,2011-04-11,101
136,2013,2013-05-02,122
136,2023,2023-04-18,108
136,2024,2024-04-10,101
137,2007,2007-04-12,102
137,2008,2008-04-26,117
